player_id,player_name,country,position,team_id,shirt_number
iraq_rebin_sulaka,Rebin Sulaka,Iraq,Defender,iraq,2
iraq_zaid_tahseen,Zaid Tahseen,Iraq,Defender,iraq,4
iraq_akam_hashim,Akam Hashim,Iraq,Defender,iraq,5
iraq_manaf_younis,Manaf Younis,Iraq,Defender,iraq,6
iraq_ibrahim_bayesh,Ibrahim Bayesh,Iraq,Midfielder,iraq,8
iraq_mohanad_ali,Mohanad Ali,Iraq,Forward,iraq,10
iraq_jalal_hassan,Jalal Hassan,Iraq,Goalkeeper,iraq,12
iraq_ali_yousif,Ali Yousif,Iraq,Forward,iraq,13
iraq_ali_jasim,Ali Jasim,Iraq,Forward,iraq,17
iraq_aymen_hussein,Aymen Hussein,Iraq,Forward,iraq,18
iraq_ahmed_basil,Ahmed Basil,Iraq,Goalkeeper,iraq,22
iraq_merchas_doski,Merchas Doski,Iraq,Defender,iraq,23
iraq_zaid_ismail,Zaid Ismail,Iraq,Midfielder,iraq,24
iraq_mustafa_saadoon,Mustafa Saadoon,Iraq,Defender,iraq,25
iraq_frans_putros,Frans Putros,Iraq,Defender,iraq,26
austria_florian_wiegele,Florian Wiegele,Austria,Goalkeeper,austria,12
algeria_melvin_mastil,Melvin Mastil,Algeria,Goalkeeper,algeria,1
algeria_achref_abada,Achref Abada,Algeria,Defender,algeria,3
algeria_mohamed_amine_tougai,Mohamed Amine Tougai,Algeria,Defender,algeria,4
algeria_zineddine_belaid,Zineddine Belaïd,Algeria,Defender,algeria,5
algeria_oussama_benbot,Oussama Benbot,Algeria,Goalkeeper,algeria,16
algeria_adil_boulbina,Adil Boulbina,Algeria,Forward,algeria,20
algeria_yacine_titraoui,Yacine Titraoui,Algeria,Midfielder,algeria,24
jordan_yazeed_abulaila,Yazeed Abulaila,Jordan,Goalkeeper,jordan,1
jordan_mohammad_abu_hashish,Mohammad Abu Hashish,Jordan,Defender,jordan,2
jordan_abdallah_nasib,Abdallah Nasib,Jordan,Defender,jordan,3
jordan_husam_abu_dahab,Husam Abu Dahab,Jordan,Defender,jordan,4
jordan_yazan_al_arab,Yazan Al-Arab,Jordan,Defender,jordan,5
jordan_amer_jamous,Amer Jamous,Jordan,Midfielder,jordan,6
jordan_mohammad_abu_zrayq,Mohammad Abu Zrayq,Jordan,Forward,jordan,7
jordan_noor_al_rawabdeh,Noor Al-Rawabdeh,Jordan,Midfielder,jordan,8
jordan_ali_olwan,Ali Olwan,Jordan,Forward,jordan,9
jordan_musa_al_taamari,Musa Al-Taamari,Jordan,Forward,jordan,10
jordan_odeh_al_fakhouri,Odeh Al-Fakhouri,Jordan,Forward,jordan,11
jordan_nour_bani_attiah,Nour Bani Attiah,Jordan,Goalkeeper,jordan,12
jordan_mahmoud_al_mardi,Mahmoud Al-Mardi,Jordan,Forward,jordan,13
jordan_rajaei_ayed,Rajaei Ayed,Jordan,Midfielder,jordan,14
jordan_ibrahim_sadeh,Ibrahim Sadeh,Jordan,Midfielder,jordan,15
jordan_mo_abualnadi,Mo Abualnadi,Jordan,Defender,jordan,16
jordan_salim_obaid,Salim Obaid,Jordan,Defender,jordan,17
jordan_ibrahim_sabra,Ibrahim Sabra,Jordan,Forward,jordan,18
jordan_saed_al_rosan,Saed Al-Rosan,Jordan,Defender,jordan,19
